"index","y"
1987,7904858
1988,8113034
1989,8313776
1990,8497848
1991,8634774
1992,8680613
1993,8726187
1994,8790733
1995,8865541
1996,8969308
1997,9060473
1998,9181928
1999,9331206
2000,9370797
2001,9603122
2002,9726642
2003,9803311
2004,9957412
2005,10124433
2006,10329224
2007,10439220
2008,10515162
2009,10510950
2010,10542584
2011,10625190
2012,10681916
2013,10754908
2014,10781720
2015,10969597
2016,10916368
2017,11004853
2018,11025789
2019,11112094
2020,11186350
2021,11232552
2022,11280329
2023,11359812
2024,11428636
