"date","bus","rail_boardings","total_rides"
2022-01-01,"115,581","116,473","232,054"
2022-01-02,"141,100","114,070","255,170"
2022-01-03,"308,893","184,727","493,620"
2022-01-04,"343,163","202,963","546,126"
2022-01-05,"261,752","177,105","438,857"
2022-01-06,"256,983","175,465","432,448"
2022-01-07,"246,042","172,216","418,258"
2022-01-08,"190,569","133,844","324,413"
2022-01-09,"139,413","102,330","241,743"
2022-01-10,"273,785","175,964","449,749"
2022-01-11,"299,534","190,644","490,178"
2022-01-12,"364,308","214,250","578,558"
2022-01-13,"364,235","218,508","582,743"
2022-01-14,"355,305","224,098","579,403"
2022-01-15,"201,975","153,357","355,332"
2022-01-16,"157,849","117,493","275,342"
2022-01-17,"247,901","160,202","408,103"
2022-01-18,"394,532","239,770","634,302"
2022-01-19,"373,531","235,997","609,528"
2022-01-20,"343,001","227,670","570,671"
2022-01-21,"360,918","227,754","588,672"
2022-01-22,"213,615","153,452","367,067"
2022-01-23,"149,802","112,997","262,799"
2022-01-24,"352,311","235,351","587,662"
2022-01-25,"352,155","234,112","586,267"
2022-01-26,"313,683","215,518","529,201"
2022-01-27,"388,880","254,620","643,500"
2022-01-28,"310,477","229,809","540,286"
2022-01-29,"216,590","160,644","377,234"
2022-01-30,"163,483","115,445","278,928"
2022-01-31,"405,219","253,283","658,502"
2022-02-01,"438,309","273,732","712,041"
2022-02-02,"252,363","189,573","441,936"
2022-02-03,"342,011","232,018","574,029"
2022-02-04,"391,793","263,572","655,365"
2022-02-05,"222,874","169,731","392,605"
2022-02-06,"179,811","125,211","305,022"
2022-02-07,"405,768","257,867","663,635"
2022-02-08,"431,086","280,312","711,398"
2022-02-09,"433,494","283,336","716,830"
2022-02-10,"426,111","284,248","710,359"
2022-02-11,"413,489","269,373","682,862"
2022-02-12,"236,977","177,109","414,086"
2022-02-13,"175,728","133,282","309,010"
2022-02-14,"400,492","260,703","661,195"
2022-02-15,"434,683","282,736","717,419"
2022-02-16,"436,057","286,506","722,563"
2022-02-17,"365,062","260,175","625,237"
2022-02-18,"383,850","268,927","652,777"
2022-02-19,"228,190","179,991","408,181"
2022-02-20,"193,971","146,532","340,503"
2022-02-21,"330,376","219,366","549,742"
2022-02-22,"402,852","275,702","678,554"
2022-02-23,"434,639","288,569","723,208"
2022-02-24,"417,551","290,246","707,797"
2022-02-25,"411,882","278,287","690,169"
2022-02-26,"260,161","190,557","450,718"
2022-02-27,"197,978","139,377","337,355"
2022-02-28,"437,269","272,433","709,702"
2022-03-01,"471,547","297,951","769,498"
2022-03-02,"461,679","304,639","766,318"
2022-03-03,"450,905","301,344","752,249"
2022-03-04,"437,164","288,975","726,139"
2022-03-05,"291,281","221,714","512,995"
2022-03-06,"194,300","141,976","336,276"
2022-03-07,"399,383","261,592","660,975"
2022-03-08,"464,441","303,631","768,072"
2022-03-09,"466,984","310,336","777,320"
2022-03-10,"444,721","310,435","755,156"
2022-03-11,"422,764","294,476","717,240"
2022-03-12,"247,872","287,526","535,398"
2022-03-13,"200,879","168,821","369,700"
2022-03-14,"448,558","294,168","742,726"
2022-03-15,"463,215","322,609","785,824"
2022-03-16,"479,823","333,597","813,420"
2022-03-17,"463,068","336,933","800,001"
2022-03-18,"404,540","292,739","697,279"
2022-03-19,"250,839","203,842","454,681"
2022-03-20,"220,280","183,597","403,877"
2022-03-21,"459,452","286,077","745,529"
2022-03-22,"432,916","290,803","723,719"
2022-03-23,"411,053","285,528","696,581"
2022-03-24,"452,116","279,960","732,076"
2022-03-25,"431,829","290,569","722,398"
2022-03-26,"242,199","191,025","433,224"
2022-03-27,"193,217","147,865","341,082"
2022-03-28,"443,113","283,316","726,429"
2022-03-29,"459,127","310,432","769,559"
2022-03-30,"425,844","299,471","725,315"
2022-03-31,"446,918","313,624","760,542"
2022-04-01,"484,903","314,610","799,513"
2022-04-02,"264,044","194,383","458,427"
2022-04-03,"218,901","153,875","372,776"
2022-04-04,"457,452","291,019","748,471"
2022-04-05,"482,775","326,164","808,939"
2022-04-06,"470,573","327,753","798,326"
2022-04-07,"468,788","346,853","815,641"
2022-04-08,"398,017","301,320","699,337"
2022-04-09,"283,129","232,566","515,695"
2022-04-10,"221,977","184,272","406,249"
2022-04-11,"388,543","276,040","664,583"
2022-04-12,"426,444","323,042","749,486"
2022-04-13,"375,870","290,641","666,511"
2022-04-14,"408,379","316,347","724,726"
2022-04-15,"367,610","276,605","644,215"
2022-04-16,"274,093","216,395","490,488"
2022-04-17,"183,837","139,738","323,575"
2022-04-18,"416,359","279,342","695,701"
2022-04-19,"461,501","324,667","786,168"
2022-04-20,"453,943","322,677","776,620"
2022-04-21,"455,139","339,779","794,918"
2022-04-22,"414,144","295,319","709,463"
2022-04-23,"312,128","278,763","590,891"
2022-04-24,"192,744","162,462","355,206"
2022-04-25,"454,532","293,934","748,466"
2022-04-26,"476,474","323,321","799,795"
2022-04-27,"473,316","325,530","798,846"
2022-04-28,"461,751","329,024","790,775"
2022-04-29,"472,802","324,138","796,940"
2022-04-30,"260,440","208,693","469,133"
2022-05-01,"209,565","167,306","376,871"
2022-05-02,"456,676","288,292","744,968"
2022-05-03,"427,088","304,189","731,277"
2022-05-04,"500,429","344,233","844,662"
2022-05-05,"464,544","329,241","793,785"
2022-05-06,"429,700","298,387","728,087"
2022-05-07,"308,573","262,869","571,442"
2022-05-08,"204,641","167,467","372,108"
2022-05-09,"456,324","296,458","752,782"
2022-05-10,"487,603","334,899","822,502"
2022-05-11,"481,802","332,548","814,350"
2022-05-12,"475,308","345,676","820,984"
2022-05-13,"470,223","332,657","802,880"
2022-05-14,"303,044","249,361","552,405"
2022-05-15,"210,931","171,982","382,913"
2022-05-16,"460,986","304,494","765,480"
2022-05-17,"479,630","337,079","816,709"
2022-05-18,"452,731","322,841","775,572"
2022-05-19,"486,489","351,429","837,918"
2022-05-20,"458,078","321,127","779,205"
2022-05-21,"258,763","218,972","477,735"
2022-05-22,"221,756","193,002","414,758"
2022-05-23,"456,515","297,901","754,416"
2022-05-24,"484,351","336,010","820,361"
2022-05-25,"461,780","319,883","781,663"
2022-05-26,"467,853","332,069","799,922"
2022-05-27,"435,553","299,737","735,290"
2022-05-28,"299,533","280,228","579,761"
2022-05-29,"239,199","246,793","485,992"
2022-05-30,"235,865","210,421","446,286"
2022-05-31,"468,550","326,376","794,926"
2022-06-01,"496,766","346,924","843,690"
2022-06-02,"492,400","355,544","847,944"
2022-06-03,"494,862","353,934","848,796"
2022-06-04,"298,993","261,915","560,908"
2022-06-05,"230,730","216,530","447,260"
2022-06-06,"437,910","291,922","729,832"
2022-06-07,"492,774","348,945","841,719"
2022-06-08,"454,093","328,980","783,073"
2022-06-09,"488,146","359,630","847,776"
2022-06-10,"450,488","327,910","778,398"
2022-06-11,"311,911","264,509","576,420"
2022-06-12,"224,348","193,587","417,935"
2022-06-13,"433,682","306,621","740,303"
2022-06-14,"467,146","345,831","812,977"
2022-06-15,"435,538","338,852","774,390"
2022-06-16,"441,821","351,622","793,443"
2022-06-17,"438,575","356,445","795,020"
2022-06-18,"316,980","307,051","624,031"
2022-06-19,"227,181","226,033","453,214"
2022-06-20,"365,955","257,700","623,655"
2022-06-21,"427,588","321,100","748,688"
2022-06-22,"444,712","335,641","780,353"
2022-06-23,"442,860","345,391","788,251"
2022-06-24,"429,666","353,308","782,974"
2022-06-25,"276,951","259,318","536,269"
2022-06-26,"228,786","301,320","530,106"
2022-06-27,"416,606","298,347","714,953"
2022-06-28,"445,097","348,827","793,924"
2022-06-29,"448,310","350,300","798,610"
2022-06-30,"434,307","354,302","788,609"
2022-07-01,"427,111","319,073","746,184"
2022-07-02,"314,971","271,980","586,951"
2022-07-03,"234,889","221,003","455,892"
2022-07-04,"201,272","158,486","359,758"
2022-07-05,"400,714","283,797","684,511"
2022-07-06,"438,241","315,347","753,588"
2022-07-07,"444,168","331,132","775,300"
2022-07-08,"414,527","323,371","737,898"
2022-07-09,"314,661","288,100","602,761"
2022-07-10,"228,764","208,566","437,330"
2022-07-11,"411,177","289,480","700,657"
2022-07-12,"460,573","351,612","812,185"
2022-07-13,"462,243","357,923","820,166"
2022-07-14,"459,272","364,927","824,199"
2022-07-15,"385,035","307,877","692,912"
2022-07-16,"306,271","295,499","601,770"
2022-07-17,"212,995","208,264","421,259"
